"trip_id";"client_id";"driver_id";"trip_date";"status"
t_1;c_1;d_1;2022-01-14 18:25:04.000;done
t_1;c_1;d_1;2022-01-13 18:25:04.000;done
t_1;c_1;d_2;2022-01-13 18:25:04.000;done
t_1;c_1;d_1;2022-01-19 18:25:04.000;done
t_1;c_1;d_1;2022-01-18 18:25:04.000;done
t_1;c_1;d_1;2022-01-17 18:25:04.000;done
t_1;c_1;d_1;2022-01-16 18:25:04.000;done
t_1;c_1;d_1;2022-01-15 18:25:04.000;done
t_1;c_1;d_1;2022-01-19 18:25:04.000;not_respond
t_1;c_1;d_1;2022-01-18 18:25:04.000;not_respond
t_1;c_1;d_1;2022-01-17 18:25:04.000;not_respond
t_1;c_1;d_1;2022-01-16 18:25:04.000;not_respond
t_1;c_1;d_1;2022-01-15 18:25:04.000;not_respond
t_2;c_1;d_1;2022-01-19 18:25:04.000;done
t_2;c_1;d_1;2022-01-18 18:25:04.000;done
t_2;c_1;d_1;2022-01-17 18:25:04.000;done
t_2;c_1;d_1;2022-01-16 18:25:04.000;done
t_2;c_1;d_1;2022-01-15 18:25:04.000;done
t_2;c_1;d_1;2022-01-19 18:25:04.000;not_respond
t_2;c_1;d_1;2022-01-18 18:25:04.000;not_respond
t_2;c_1;d_1;2022-01-17 18:25:04.000;not_respond
t_2;c_1;d_1;2022-01-16 18:25:04.000;not_respond
t_2;c_1;d_1;2022-01-15 18:25:04.000;not_respond
t_3;c_1;d_1;2022-01-19 18:25:04.000;done
t_3;c_1;d_1;2022-01-18 18:25:04.000;done
t_3;c_1;d_1;2022-01-17 18:25:04.000;done
t_3;c_1;d_1;2022-01-16 18:25:04.000;done
t_3;c_1;d_1;2022-01-15 18:25:04.000;done
t_3;c_1;d_1;2022-01-19 18:25:04.000;not_respond
t_3;c_1;d_1;2022-01-18 18:25:04.000;not_respond
t_3;c_1;d_1;2022-01-17 18:25:04.000;not_respond
t_3;c_1;d_1;2022-01-16 18:25:04.000;not_respond
t_3;c_1;d_1;2022-01-15 18:25:04.000;not_respond
t_4;c_1;d_1;2022-01-19 18:25:04.000;done
t_4;c_1;d_1;2022-01-18 18:25:04.000;done
t_4;c_1;d_1;2022-01-17 18:25:04.000;done
